"","participant","trial","condition_nums","time_through_maze","max_force","path_length","haptic","visual","map","average_velocity","average_proximity","average_force"
"461","43","P43_31","4",36.44,0.832152701871286,19.1554480441723,"0","0",9,0.525559814944865,0.708307302684895,0.223678992690902
"462","43","P43_32","2",321.33,2.82842712474619,45.8318051883855,"1","0",9,0.188008318009964,0.545029847947338,1.1655498909301
"463","43","P43_6","3",26.75,1.73068819429219,23.7579447706666,"0","1",11,0.887851099240579,0.847122070872799,0.780976781185655
"464","43","P43_7","4",43.36,1.45646563256444,25.0874366401015,"0","0",11,0.578500644523816,0.698041007134912,0.337624576198553
"465","44","P44_1","2",82.32,2.25271154936535,21.8016099194895,"1","0",10,0.267362811383277,0.635951837239581,0.484119585227299
"466","44","P44_10","3",32.38,2.00034494044376,28.5659259152299,"0","1",3,0.881996853383643,0.876264108274305,0.738400355134692
"467","44","P44_11","4",54.59,1.15106567146011,30.2997517792813,"0","0",3,0.548772102410596,0.770676299750137,0.271067922422504
"468","44","P44_12","2",131.29,2.31711836041897,35.6480151721574,"1","0",3,0.35191260623727,0.672592318413725,0.440285526949989
"469","44","P44_13","3",17.38,2.25862121515645,18.9727947668563,"0","1",5,1.09112886647748,0.833547188554051,1.20657079578393
"470","44","P44_14","1",16,2.63170852460219,19.4106321142301,"1","1",5,1.21351753297583,0.819749188639023,1.38275792264806
"471","44","P44_15","2",81.75,2.35524287743248,23.8319248824163,"1","0",5,0.324139483624304,0.713410392459878,0.377632204609425
"472","44","P44_16","4",37.42,0.649264778673508,22.1769242161515,"0","0",5,0.591094541469886,0.782917000875113,0.251640431172694
"473","44","P44_17","1",15.14,2.48065056155125,19.14504554602,"1","1",6,1.26372456317779,0.93633436548272,1.47653908803001
"474","44","P44_18","2",224.8,2.82842712474619,48.338491323088,"1","0",6,0.843380704141092,0.454674704865617,2.16622658767461
"475","44","P44_19","4",26.1,0.959271907252246,19.3303321479225,"0","0",6,0.740368724391616,0.74848520043135,0.124398101110632
"476","44","P44_2","3",17.68,2.46124036319203,18.6467896489765,"0","1",10,1.05409921956963,0.90240448862168,1.25941041864637
"477","44","P44_20","3",16.64,2.82842712474619,19.9067757543196,"0","1",6,1.1956096347509,0.887125833062036,1.40433710996968
"478","44","P44_21","2",63,0.248620520230908,19.4997646172857,"1","0",7,0.309472204213907,0.842883475402192,0.0446044128155372
"479","44","P44_22","3",19.83,2.59639803455991,18.6600921069489,"0","1",7,0.94045306336077,0.937652594317659,1.20517396931234
"480","44","P44_23","4",58.35,2.40876426690626,33.2730159403108,"0","0",7,0.564208370427023,0.777214664370424,0.356663427610061
"481","44","P44_24","1",21.94,2.30867703147635,20.096173784615,"1","1",7,0.921967150178399,0.787433163503324,1.05767462760081
"482","44","P44_25","3",16.85,2.45501735066871,18.8260015911121,"0","1",8,1.11664643196923,0.95085023453611,1.30741204158863
"483","44","P44_26","2",190.36,2.82842712474619,40.5280241858963,"1","0",8,0.238083271307776,0.585627894072741,0.70595621824605
"484","44","P44_27","1",20.6,1.7474968577072,18.4046795902879,"1","1",8,0.892971977587899,0.896289964257847,0.88783653716417
"485","44","P44_28","4",42.71,1.79921815265727,23.5976083980054,"0","0",8,0.54669540023149,0.799753925704607,0.380221432072645
"486","44","P44_29","4",38.28,1.96049448556987,21.3725383170289,"0","0",9,0.555807476170681,0.697213084065533,0.46372777534484
