"","participant","haptic","visual","condition_nums","experiment","average_time_through_maze","average_path_length","average_velocity","average_proximity","average_force"
"152",20,"0","0","4",2,35.6066666666667,24.4030789423981,0.694968918893549,0.789714317205604,0.493037087519047
"153",20,"0","1","3",1,16.735,20.0315079249244,1.20283205073271,0.835318041046085,1.53012241272877
"154",20,"0","1","3",2,20.535,19.7315374066702,0.956343498069538,0.848734492913519,1.06972795703053
"155",20,"1","0","2",1,33.435,22.3281897061464,0.674253601711854,0.700835666345352,0.956495426636006
"156",20,"1","0","2",2,118.918,23.8741530262534,0.208468497424356,0.757279747998664,0.276747302736494
"157",20,"1","1","1",1,16.665,20.1289057997307,1.21101730223953,0.757312189286303,1.41265247467697
"158",20,"1","1","1",2,23.27625,20.3383459460139,0.950804452969341,0.829568238486814,1.1124979305763
"159",21,"0","0","4",1,53.51875,21.256568712976,0.443380247156296,0.820853382542547,0.140021931170658
"160",21,"0","1","3",1,22.2342857142857,20.371032217909,0.932396976334449,0.873399230148816,0.841524449214098
"161",21,"1","0","2",1,59.2725,23.4801237638281,0.387650920150666,0.771159891169596,0.210153928210399
"162",21,"1","1","1",1,22.93125,20.3418729925507,0.897060815967771,0.857905055787224,0.908699785441897
"163",22,"0","0","4",1,38.9775,21.0252752829962,0.579976641144333,0.795107413620841,0.320387417424413
"164",22,"0","1","3",1,21.4525,20.3466080963875,0.969111644329863,0.862372045241513,0.873857404066154
"165",22,"1","0","2",1,44.085,23.6187240273485,0.537820459426313,0.702357543073055,0.492734733108099
"166",22,"1","1","1",1,22.65,20.777647901258,0.931451306902806,0.804818659096435,0.736424589910112
"167",23,"0","0","4",1,50.4575,23.4130792002767,0.501447394381997,0.752766180745263,0.323736362110369
"168",23,"0","1","3",1,28.1575,20.5970123964372,0.767425727558025,0.826669850879346,0.576138387766274
"169",23,"1","0","2",1,46.02,23.4397934199421,0.515113516735328,0.699518949214527,0.345237416539541
"170",23,"1","1","1",1,26.925,21.2409947093486,0.790768827698131,0.7809966056338,0.544079204258354
"171",24,"0","0","4",1,46.0585714285714,22.7472717367242,0.482846013869534,0.780111793896594,0.283797596849374
"172",24,"0","1","3",1,34.425,20.3826657933405,0.602650451380462,0.841164769081967,0.322034662732435
"173",24,"1","0","2",1,37.8528571428571,24.396741991044,0.603030838097742,0.678324957759354,0.66111150918089
"174",24,"1","1","1",1,32.375,20.4909329284809,0.640832483326082,0.824282018570789,0.318976090436776
"175",25,"0","0","4",1,50.66375,23.471007337606,0.489049341851637,0.796331157400966,0.210631265352352
"176",25,"0","1","3",1,35.7275,20.011723110803,0.578691447921942,0.847917323691244,0.254347146762303
"177",25,"1","0","2",1,85.7133333333333,30.8041825270279,0.361346981996461,0.734415767437715,0.265350375358181
"178",25,"1","1","1",1,36.2625,20.0450126529477,0.520940357205841,0.782817443361733,0.342522633106547
